age,qx,lx,dx,Lx,Tx,ex,sex,year
82.0,0.09652,19673.0,1899.0,18723.0,122658.0,6.23,M,1910
83.0,0.10764,17774.0,1913.0,16817.0,103934.0,5.85,M,1910
84.0,0.11561,15861.0,1834.0,14944.0,87117.0,5.49,M,1910
85.0,0.12587,14027.0,1766.0,13144.0,72173.0,5.15,M,1910
86.0,0.13612,12262.0,1669.0,11427.0,59028.0,4.81,M,1910
87.0,0.14854,10593.0,1573.0,9806.0,47601.0,4.49,M,1910
88.0,0.16026,9019.0,1445.0,8296.0,37796.0,4.19,M,1910
89.0,0.1782,7574.0,1350.0,6899.0,29499.0,3.89,M,1910
90.0,0.19257,6224.0,1199.0,5625.0,22600.0,3.63,M,1910
91.0,0.20698,5025.0,1040.0,4505.0,16976.0,3.38,M,1910
92.0,0.22877,3985.0,912.0,3529.0,12470.0,3.13,M,1910
93.0,0.24908,3074.0,766.0,2691.0,8941.0,2.91,M,1910
94.0,0.27105,2308.0,626.0,1995.0,6250.0,2.71,M,1910
95.0,0.29359,1682.0,494.0,1435.0,4255.0,2.53,M,1910
96.0,0.31553,1188.0,375.0,1001.0,2819.0,2.37,M,1910
97.0,0.33642,813.0,274.0,677.0,1818.0,2.23,M,1910
98.0,0.35583,540.0,192.0,444.0,1141.0,2.11,M,1910
99.0,0.37338,348.0,130.0,283.0,698.0,2.01,M,1910
100.0,0.39134,218.0,85.0,175.0,415.0,1.9,M,1910
101.0,0.4098,133.0,54.0,105.0,240.0,1.81,M,1910
102.0,0.42883,78.0,34.0,61.0,134.0,1.71,M,1910
103.0,0.44849,45.0,20.0,35.0,73.0,1.63,M,1910
104.0,0.46882,25.0,12.0,19.0,38.0,1.54,M,1910
105.0,0.4899,13.0,6.0,10.0,19.0,1.46,M,1910
106.0,0.51178,7.0,3.0,5.0,9.0,1.38,M,1910
107.0,0.53451,3.0,2.0,2.0,4.0,1.31,M,1910
108.0,0.55816,2.0,1.0,1.0,2.0,1.24,M,1910
109.0,0.58277,1.0,0.0,0.0,1.0,1.17,M,1910
110.0,0.6084,0.0,0.0,0.0,0.0,1.1,M,1910
111.0,0.63511,0.0,0.0,0.0,0.0,1.04,M,1910
112.0,0.66295,0.0,0.0,0.0,0.0,0.98,M,1910
113.0,0.69197,0.0,0.0,0.0,0.0,0.92,M,1910
114.0,0.72225,0.0,0.0,0.0,0.0,0.86,M,1910
115.0,0.75383,0.0,0.0,0.0,0.0,0.81,M,1910
116.0,0.78679,0.0,0.0,0.0,0.0,0.76,M,1910
117.0,0.82118,0.0,0.0,0.0,0.0,0.71,M,1910
118.0,0.85707,0.0,0.0,0.0,0.0,0.66,M,1910
119.0,0.89447,0.0,0.0,0.0,0.0,0.61,M,1910
1.0,0.02159,90174.0,1947.0,89201.0,6277826.0,69.62,F,1910
2.0,0.00987,88227.0,870.0,87792.0,6188626.0,70.14,F,1910
3.0,0.00782,87357.0,683.0,87015.0,6100834.0,69.84,F,1910
4.0,0.00536,86673.0,465.0,86441.0,6013819.0,69.38,F,1910
5.0,0.00372,86208.0,320.0,86048.0,5927378.0,68.76,F,1910
6.0,0.00311,85888.0,267.0,85754.0,5841329.0,68.01,F,1910
7.0,0.00243,85621.0,208.0,85517.0,5755575.0,67.22,F,1910
8.0,0.00332,85413.0,283.0,85272.0,5670058.0,66.38,F,1910
9.0,0.00205,85130.0,175.0,85043.0,5584786.0,65.6,F,1910
10.0,0.00184,84955.0,157.0,84877.0,5499744.0,64.74,F,1910
11.0,0.00178,84799.0,151.0,84723.0,5414867.0,63.86,F,1910
12.0,0.00164,84648.0,139.0,84578.0,5330144.0,62.97,F,1910
13.0,0.00186,84509.0,157.0,84430.0,5245565.0,62.07,F,1910
14.0,0.00203,84352.0,171.0,84266.0,5161135.0,61.19,F,1910
